rastr_num;sort;;amount;cost;income;
18;KÁVA;;2192;24100;106812;3
21;NEALKO;;453;6795;18316;3
22;ALKOHOL;;138;3450;6340;3
30;VÍNA láhev;;20;3250;;3
30;VÍNA rozlev;;332;4000;25820;3
17;DORTY;;1617;80850;102893;3
21;LIMO;;260;4000;16640;3
21;VODY;;210;2100;5281;3
23;ÈAJE;;189;3780;11581;3
18;KÁVA;;3375;37125;169494;4
21;NEALKO;;720;10800;29112;4
22;ALKOHOL;;284;5112;14314;4
30;VÍNA láhev;;9;1550;;4
30;VÍNA rozlev;;463;8920;36746;4
17;DORTY;;2003;114171;132605;4
21;LIMO;;506;7590;34581;4
21;VODY;;313;3130;8912;4
23;ÈAJE;;189;3780;11581;4
1;JÍDLO;;265;;19867;4
18;KÁVA;;3534;38408,63636;168998;5
21;NEALKO;;705;10835,92593;29257;5
22;ALKOHOL;;381;10886,66667;19596;5
30;VÍNA láhev;;10;3994,130435;;5
30;VÍNA rozlev;;616;;36746;5
17;DORTY;;1802;91946,92308;119531;5
21;LIMO;;496;13832,4;34581;5
21;VODY;;322;2884,83871;8943;5
23;ÈAJE;;223;2816,451613;8731;5
1;JÍDLO;;482;;27781;5
13;ZMRZLINA;;285;;8542;5
18;KÁVA;;2592;31616,59091;139113;6
21;NEALKO;;797;12656,2963;34172;6
22;ALKOHOL;;271;8667,222222;15601;6
30;VÍNA láhev;;11;4581,521739;;6
30;VÍNA rozlev;;579;;42150;6
17;DORTY;;1157;58370;75881;6
21;LIMO;;674;18602,4;46506;6
21;VODY;;336;2881,290323;8932;6
23;ÈAJE;;61;1144,83871;3549;6
1;JÍDLO;;377;;33184;6
13;ZMRZLINA;;367;;15090;6
18;KÁVA;;4046;47052,95455;207033;7
21;NEALKO;;1032;19432,59259;52468;7
22;ALKOHOL;;450;13502,77778;24305;7
30;VÍNA láhev;;;;;7
30;VÍNA rozlev;;1331;9510,76087;87499;7
17;DORTY;;1806;91904,61538;119476;7
21;LIMO;;839;22889,6;57224;7
21;VODY;;346;2911,612903;9026;7
23;ÈAJE;;161;1144,83871;3549;7
1;JÍDLO;;763;;57993;7
13;ZMRZLINA;;730;;18130;7
18;KÁVA;;4304;50607,72727;222674;8
21;NEALKO;;1315;19976,2963;53936;8
22;ALKOHOL;;368;11683,88889;21031;8
30;VÍNA láhev;;5;;;8
30;VÍNA rozlev;;1279;9072,173913;83464;8
17;DORTY;;1935;103010,7692;133914;8
21;LIMO;;872;23864,8;59662;8
21;VODY;;343;2820;8742;8
23;ÈAJE;;153;1618,064516;5016;8
1;JÍDLO;;659;;53266;8
13;ZMRZLINA;;844;;21100;8
18;KÁVA;;2835;34262,5;150755;9
21;NEALKO;;611;9033,703704;24391;9
22;ALKOHOL;;218;7092,777778;12767;9
30;VÍNA láhev;;1;;;9
30;VÍNA rozlev;;443;2850,543478;26225;9
17;DORTY;;1501;79596,15385;103475;9
21;LIMO;;234;6458,4;16146;9
21;VODY;;130;1135,483871;3520;9
23;ÈAJE;;138;2529,677419;7842;9
1;JÍDLO;;319;12510,5;25021;9
13;ZMRZLINA;;275;1375;6875;9
18;KÁVA;;2200;30680,68182;134995;10
21;NEALKO;;668;11092,22222;29949;10
22;ALKOHOL;;221;7277,777778;13100;10
30;VÍNA láhev;;6;;;10
30;VÍNA rozlev;;482;3394,021739;31225;10
17;DORTY;;1163;77836,92308;101188;10
21;LIMO;;125;5796;14490;10
21;VODY;;;0;;10
23;ÈAJE;;125;2444,516129;7578;10
1;JÍDLO;;240;9656,5;19313;10
13;ZMRZLINA;;0;0;0;10
18;KÁVA;;;;63083;11
21;NEALKO;;;;9356;11
22;ALKOHOL;;;;6264;11
30;VÍNA láhev;;;;0;11
30;VÍNA rozlev;;;;0;11
17;DORTY;;;;54428;11
21;LIMO;;;;5727;11
21;VODY;;;;39;11
23;ÈAJE;;;;7280;11
1;JÍDLO;;;;15236;11
13;ZMRZLINA;;;;0;11
